,año,mes,festividad,comuna,conducta,cantidad
30,2010,Abril,Dia del Niño,Norte,VIOLENCIA INTRAFAMILIAR,1
31,2010,Abril,Dia del Niño,Occidental,LESIONES PERSONALES,1
32,2010,Abril,Dia del Niño,Occidental,VIOLENCIA INTRAFAMILIAR,1
33,2010,Abril,Dia del Niño,Oriental,HURTO A PERSONAS,3
34,2010,Abril,Dia del Niño,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
35,2010,Abril,Dia del Niño,San Francisco,HOMICIDIO,1
36,2010,Abril,Dia del Niño,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
37,2010,Abril,Dia del Niño,San Francisco,VIOLENCIA INTRAFAMILIAR,1
38,2010,Abril,Domingo,Cabecera del Llano,HURTO A PERSONAS,3
39,2010,Abril,Domingo,Cabecera del Llano,HURTO A RESIDENCIAS,1
40,2010,Abril,Domingo,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
41,2010,Abril,Domingo,Cabecera del Llano,LESIONES PERSONALES,1
42,2010,Abril,Domingo,Centro,HURTO A PERSONAS,1
43,2010,Abril,Domingo,Centro,LESIONES PERSONALES,2
44,2010,Abril,Domingo,García Rovira,HURTO A ENTIDADES COMERCIALES,1
45,2010,Abril,Domingo,García Rovira,LESIONES PERSONALES,3
46,2010,Abril,Domingo,García Rovira,VIOLENCIA INTRAFAMILIAR,1
47,2010,Abril,Domingo,La Ciudadela,HURTO A PERSONAS,1
48,2010,Abril,Domingo,La Concordia,HURTO A PERSONAS,3
49,2010,Abril,Domingo,La Pedregosa,HURTO A PERSONAS,5
50,2010,Abril,Domingo,La Pedregosa,LESIONES PERSONALES,2
51,2010,Abril,Domingo,La Pedregosa,VIOLENCIA INTRAFAMILIAR,1
52,2010,Abril,Domingo,Lagos del Cacique,HURTO A PERSONAS,3
53,2010,Abril,Domingo,Morrorico,HURTO A PERSONAS,2
54,2010,Abril,Domingo,Morrorico,LESIONES PERSONALES,2
55,2010,Abril,Domingo,Morrorico,VIOLENCIA INTRAFAMILIAR,1
56,2010,Abril,Domingo,Mutis,HURTO A PERSONAS,2
57,2010,Abril,Domingo,Mutis,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
58,2010,Abril,Domingo,Nor Oriental,HOMICIDIO,1
59,2010,Abril,Domingo,Nor Oriental,HURTO A PERSONAS,1
60,2010,Abril,Domingo,Nor Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
61,2010,Abril,Domingo,Norte,HURTO A AUTOMOTORES,1
62,2010,Abril,Domingo,Norte,HURTO A PERSONAS,3
63,2010,Abril,Domingo,Norte,HURTO A RESIDENCIAS,1
64,2010,Abril,Domingo,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
65,2010,Abril,Domingo,Norte,LESIONES PERSONALES,9
66,2010,Abril,Domingo,Norte,VIOLENCIA INTRAFAMILIAR,3
67,2010,Abril,Domingo,Occidental,HURTO A RESIDENCIAS,1
68,2010,Abril,Domingo,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
69,2010,Abril,Domingo,Occidental,VIOLENCIA INTRAFAMILIAR,3
70,2010,Abril,Domingo,Oriental,HURTO A PERSONAS,4
71,2010,Abril,Domingo,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
72,2010,Abril,Domingo,Oriental,LESIONES PERSONALES,1
73,2010,Abril,Domingo,Oriental,VIOLENCIA INTRAFAMILIAR,1
74,2010,Abril,Domingo,Provenza,LESIONES PERSONALES,1
75,2010,Abril,Domingo,San Francisco,HURTO A ENTIDADES COMERCIALES,2
76,2010,Abril,Domingo,San Francisco,HURTO A MOTOCICLETAS,1
77,2010,Abril,Domingo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
78,2010,Abril,Domingo,San Francisco,LESIONES PERSONALES,2
79,2010,Abril,Domingo,San Francisco,VIOLENCIA INTRAFAMILIAR,3
80,2010,Abril,Domingo,Sur,LESIONES PERSONALES,1
81,2010,Abril,Domingo,Sur Occidente,HURTO A PERSONAS,1
82,2010,Abril,Domingo,Sur Occidente,LESIONES PERSONALES,1
83,2010,Abril,Domingo de Pascua o Resurreccion,Cabecera del Llano,HURTO A PERSONAS,1
84,2010,Abril,Domingo de Pascua o Resurreccion,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
85,2010,Abril,Domingo de Pascua o Resurreccion,Cabecera del Llano,LESIONES PERSONALES,1
86,2010,Abril,Domingo de Pascua o Resurreccion,La Concordia,HURTO A PERSONAS,2
87,2010,Abril,Domingo de Pascua o Resurreccion,La Pedregosa,HURTO A PERSONAS,1
88,2010,Abril,Domingo de Pascua o Resurreccion,Lagos del Cacique,HURTO A PERSONAS,1
89,2010,Abril,Domingo de Pascua o Resurreccion,Mutis,HURTO A PERSONAS,1
90,2010,Abril,Domingo de Pascua o Resurreccion,Mutis,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
91,2010,Abril,Domingo de Pascua o Resurreccion,Nor Oriental,HURTO A PERSONAS,1
92,2010,Abril,Domingo de Pascua o Resurreccion,Norte,HURTO A AUTOMOTORES,1
93,2010,Abril,Domingo de Pascua o Resurreccion,Occidental,VIOLENCIA INTRAFAMILIAR,1
94,2010,Abril,Domingo de Pascua o Resurreccion,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
95,2010,Abril,Domingo de Pascua o Resurreccion,San Francisco,VIOLENCIA INTRAFAMILIAR,1
96,2010,Abril,Jueves Santo,Cabecera del Llano,HURTO A PERSONAS,1
97,2010,Abril,Jueves Santo,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
98,2010,Abril,Jueves Santo,García Rovira,HURTO A PERSONAS,1
99,2010,Abril,Jueves Santo,García Rovira,VIOLENCIA INTRAFAMILIAR,1
100,2010,Abril,Jueves Santo,La Ciudadela,HURTO A RESIDENCIAS,1
101,2010,Abril,Jueves Santo,La Concordia,HURTO A ENTIDADES COMERCIALES,1
102,2010,Abril,Jueves Santo,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
103,2010,Abril,Jueves Santo,La Pedregosa,LESIONES PERSONALES,2
104,2010,Abril,Jueves Santo,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
105,2010,Abril,Jueves Santo,Norte,LESIONES PERSONALES,1
106,2010,Abril,Jueves Santo,Norte,VIOLENCIA INTRAFAMILIAR,1
107,2010,Abril,Jueves Santo,Occidental,LESIONES PERSONALES,1
108,2010,Abril,Jueves Santo,Oriental,HURTO A PERSONAS,1
109,2010,Abril,Jueves Santo,Oriental,VIOLENCIA INTRAFAMILIAR,1
110,2010,Abril,Jueves Santo,Provenza,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
111,2010,Abril,Jueves Santo,Provenza,LESIONES PERSONALES,1
112,2010,Abril,Jueves Santo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
113,2010,Abril,No Aplica,Cabecera del Llano,HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO),1
114,2010,Abril,No Aplica,Cabecera del Llano,HURTO A AUTOMOTORES,1
115,2010,Abril,No Aplica,Cabecera del Llano,HURTO A ENTIDADES COMERCIALES,2
116,2010,Abril,No Aplica,Cabecera del Llano,HURTO A PERSONAS,25
117,2010,Abril,No Aplica,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),17
118,2010,Abril,No Aplica,Cabecera del Llano,LESIONES PERSONALES,5
119,2010,Abril,No Aplica,Centro,HURTO A ENTIDADES COMERCIALES,4
120,2010,Abril,No Aplica,Centro,HURTO A MOTOCICLETAS,3
121,2010,Abril,No Aplica,Centro,HURTO A PERSONAS,15
122,2010,Abril,No Aplica,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),14
123,2010,Abril,No Aplica,Centro,LESIONES PERSONALES,15
124,2010,Abril,No Aplica,Centro,VIOLENCIA INTRAFAMILIAR,3
125,2010,Abril,No Aplica,García Rovira,HURTO A ENTIDADES COMERCIALES,1
126,2010,Abril,No Aplica,García Rovira,HURTO A MOTOCICLETAS,1
127,2010,Abril,No Aplica,García Rovira,HURTO A PERSONAS,5
128,2010,Abril,No Aplica,García Rovira,HURTO A RESIDENCIAS,2
129,2010,Abril,No Aplica,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5
130,2010,Abril,No Aplica,García Rovira,LESIONES PERSONALES,11
131,2010,Abril,No Aplica,García Rovira,VIOLENCIA INTRAFAMILIAR,2
132,2010,Abril,No Aplica,La Ciudadela,HURTO A PERSONAS,5
133,2010,Abril,No Aplica,La Ciudadela,HURTO A RESIDENCIAS,1
134,2010,Abril,No Aplica,La Ciudadela,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
135,2010,Abril,No Aplica,La Ciudadela,LESIONES PERSONALES,6
136,2010,Abril,No Aplica,La Ciudadela,VIOLENCIA INTRAFAMILIAR,1
137,2010,Abril,No Aplica,La Concordia,HURTO A ENTIDADES COMERCIALES,3
138,2010,Abril,No Aplica,La Concordia,HURTO A MOTOCICLETAS,1
139,2010,Abril,No Aplica,La Concordia,HURTO A PERSONAS,15
140,2010,Abril,No Aplica,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),12
141,2010,Abril,No Aplica,La Concordia,LESIONES PERSONALES,9
142,2010,Abril,No Aplica,La Concordia,VIOLENCIA INTRAFAMILIAR,1
143,2010,Abril,No Aplica,La Pedregosa,HURTO A PERSONAS,6
144,2010,Abril,No Aplica,La Pedregosa,HURTO A RESIDENCIAS,2
145,2010,Abril,No Aplica,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),14
146,2010,Abril,No Aplica,La Pedregosa,LESIONES PERSONALES,2
147,2010,Abril,No Aplica,La Pedregosa,VIOLENCIA INTRAFAMILIAR,2
148,2010,Abril,No Aplica,Lagos del Cacique,HURTO A ENTIDADES COMERCIALES,1
149,2010,Abril,No Aplica,Lagos del Cacique,HURTO A PERSONAS,2
150,2010,Abril,No Aplica,Lagos del Cacique,HURTO A RESIDENCIAS,1
151,2010,Abril,No Aplica,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
152,2010,Abril,No Aplica,Lagos del Cacique,LESIONES PERSONALES,1
153,2010,Abril,No Aplica,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1
154,2010,Abril,No Aplica,Morrorico,HURTO A PERSONAS,1
155,2010,Abril,No Aplica,Morrorico,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
156,2010,Abril,No Aplica,Morrorico,LESIONES PERSONALES,2
157,2010,Abril,No Aplica,Morrorico,VIOLENCIA INTRAFAMILIAR,4
158,2010,Abril,No Aplica,Mutis,HOMICIDIO,2
159,2010,Abril,No Aplica,Mutis,HURTO A PERSONAS,3
160,2010,Abril,No Aplica,Mutis,HURTO A RESIDENCIAS,1
161,2010,Abril,No Aplica,Mutis,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
162,2010,Abril,No Aplica,Mutis,LESIONES PERSONALES,5
163,2010,Abril,No Aplica,Mutis,VIOLENCIA INTRAFAMILIAR,3
164,2010,Abril,No Aplica,Nor Oriental,HURTO A ENTIDADES COMERCIALES,1
165,2010,Abril,No Aplica,Nor Oriental,HURTO A PERSONAS,5
166,2010,Abril,No Aplica,Nor Oriental,HURTO A RESIDENCIAS,1
167,2010,Abril,No Aplica,Nor Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
168,2010,Abril,No Aplica,Nor Oriental,LESIONES PERSONALES,11
169,2010,Abril,No Aplica,Nor Oriental,VIOLENCIA INTRAFAMILIAR,3
170,2010,Abril,No Aplica,Norte,HURTO A AUTOMOTORES,1
171,2010,Abril,No Aplica,Norte,HURTO A PERSONAS,7
172,2010,Abril,No Aplica,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
173,2010,Abril,No Aplica,Norte,LESIONES PERSONALES,10
174,2010,Abril,No Aplica,Norte,VIOLENCIA INTRAFAMILIAR,5
175,2010,Abril,No Aplica,Occidental,HURTO A ENTIDADES COMERCIALES,2
176,2010,Abril,No Aplica,Occidental,HURTO A PERSONAS,4
177,2010,Abril,No Aplica,Occidental,HURTO A RESIDENCIAS,1
178,2010,Abril,No Aplica,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
179,2010,Abril,No Aplica,Occidental,LESIONES PERSONALES,6
180,2010,Abril,No Aplica,Occidental,VIOLENCIA INTRAFAMILIAR,3
181,2010,Abril,No Aplica,Oriental,HURTO A ENTIDADES COMERCIALES,2
182,2010,Abril,No Aplica,Oriental,HURTO A PERSONAS,17
183,2010,Abril,No Aplica,Oriental,HURTO A RESIDENCIAS,2
184,2010,Abril,No Aplica,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),13
185,2010,Abril,No Aplica,Oriental,LESIONES PERSONALES,9
186,2010,Abril,No Aplica,Oriental,VIOLENCIA INTRAFAMILIAR,4
187,2010,Abril,No Aplica,Provenza,HURTO A MOTOCICLETAS,2
188,2010,Abril,No Aplica,Provenza,HURTO A PERSONAS,11
189,2010,Abril,No Aplica,Provenza,HURTO A RESIDENCIAS,1
190,2010,Abril,No Aplica,Provenza,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
191,2010,Abril,No Aplica,Provenza,LESIONES PERSONALES,4
192,2010,Abril,No Aplica,San Francisco,HOMICIDIO,3
193,2010,Abril,No Aplica,San Francisco,HURTO A AUTOMOTORES,1
194,2010,Abril,No Aplica,San Francisco,HURTO A ENTIDADES COMERCIALES,1
195,2010,Abril,No Aplica,San Francisco,HURTO A MOTOCICLETAS,3
196,2010,Abril,No Aplica,San Francisco,HURTO A PERSONAS,16
197,2010,Abril,No Aplica,San Francisco,HURTO A RESIDENCIAS,1
198,2010,Abril,No Aplica,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),16
199,2010,Abril,No Aplica,San Francisco,LESIONES PERSONALES,16
200,2010,Abril,No Aplica,San Francisco,VIOLENCIA INTRAFAMILIAR,4
201,2010,Abril,No Aplica,Sur,HOMICIDIO,1
202,2010,Abril,No Aplica,Sur,HURTO A PERSONAS,2
203,2010,Abril,No Aplica,Sur,LESIONES PERSONALES,5
204,2010,Abril,No Aplica,Sur,VIOLENCIA INTRAFAMILIAR,3
205,2010,Abril,No Aplica,Sur Occidente,HURTO A RESIDENCIAS,1
206,2010,Abril,No Aplica,Sur Occidente,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
207,2010,Abril,No Aplica,Sur Occidente,LESIONES PERSONALES,2
208,2010,Abril,No Aplica,Sur Occidente,VIOLENCIA INTRAFAMILIAR,1
209,2010,Abril,Viernes Santo,Morrorico,LESIONES PERSONALES,1
210,2010,Abril,Viernes Santo,Nor Oriental,LESIONES PERSONALES,1
211,2010,Abril,Viernes Santo,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
212,2010,Abril,Viernes Santo,Oriental,HURTO A ENTIDADES COMERCIALES,1
213,2010,Abril,Viernes Santo,Provenza,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
214,2010,Abril,Viernes Santo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
215,2010,Abril,Viernes Santo,San Francisco,LESIONES PERSONALES,1
216,2010,Agosto,Asuncion de la Virgen,Centro,LESIONES PERSONALES,1
217,2010,Agosto,Asuncion de la Virgen,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
218,2010,Agosto,Asuncion de la Virgen,La Concordia,HURTO A PERSONAS,1
219,2010,Agosto,Asuncion de la Virgen,Morrorico,VIOLENCIA INTRAFAMILIAR,1
220,2010,Agosto,Asuncion de la Virgen,Mutis,LESIONES PERSONALES,3
221,2010,Agosto,Asuncion de la Virgen,Mutis,VIOLENCIA INTRAFAMILIAR,1
222,2010,Agosto,Asuncion de la Virgen,Nor Oriental,VIOLENCIA INTRAFAMILIAR,1
223,2010,Agosto,Asuncion de la Virgen,Norte,VIOLENCIA INTRAFAMILIAR,1
224,2010,Agosto,Asuncion de la Virgen,Oriental,HURTO A PERSONAS,1
225,2010,Agosto,Asuncion de la Virgen,Oriental,HURTO A RESIDENCIAS,1
226,2010,Agosto,Asuncion de la Virgen,Provenza,LESIONES PERSONALES,1
227,2010,Agosto,Asuncion de la Virgen,Provenza,VIOLENCIA INTRAFAMILIAR,1
228,2010,Agosto,Asuncion de la Virgen,San Francisco,HURTO A MOTOCICLETAS,2
229,2010,Agosto,Asuncion de la Virgen,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
230,2010,Agosto,Asuncion de la Virgen,San Francisco,VIOLENCIA INTRAFAMILIAR,1
231,2010,Agosto,Asuncion de la Virgen,Sur,HURTO A PERSONAS,1
232,2010,Agosto,Batalla de Boyaca,Cabecera del Llano,HURTO A PERSONAS,1
233,2010,Agosto,Batalla de Boyaca,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
234,2010,Agosto,Batalla de Boyaca,Cabecera del Llano,LESIONES PERSONALES,3
235,2010,Agosto,Batalla de Boyaca,Centro,HURTO A ENTIDADES COMERCIALES,1
236,2010,Agosto,Batalla de Boyaca,Centro,HURTO A PERSONAS,3
237,2010,Agosto,Batalla de Boyaca,Centro,LESIONES PERSONALES,1
238,2010,Agosto,Batalla de Boyaca,La Ciudadela,HURTO A PERSONAS,1
239,2010,Agosto,Batalla de Boyaca,La Concordia,HURTO A PERSONAS,1
240,2010,Agosto,Batalla de Boyaca,Lagos del Cacique,HURTO A PERSONAS,2
241,2010,Agosto,Batalla de Boyaca,Morrorico,HURTO A PERSONAS,1
242,2010,Agosto,Batalla de Boyaca,Nor Oriental,HOMICIDIO,1
243,2010,Agosto,Batalla de Boyaca,Nor Oriental,LESIONES PERSONALES,2
244,2010,Agosto,Batalla de Boyaca,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
245,2010,Agosto,Batalla de Boyaca,Oriental,HURTO A PERSONAS,2
246,2010,Agosto,Batalla de Boyaca,Oriental,HURTO A RESIDENCIAS,1
247,2010,Agosto,Batalla de Boyaca,Provenza,VIOLENCIA INTRAFAMILIAR,1
248,2010,Agosto,Batalla de Boyaca,San Francisco,HURTO A PERSONAS,2
249,2010,Agosto,Batalla de Boyaca,San Francisco,VIOLENCIA INTRAFAMILIAR,1
250,2010,Agosto,Dia del Adulto Mayor,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
251,2010,Agosto,Dia del Adulto Mayor,Centro,LESIONES PERSONALES,4
252,2010,Agosto,Dia del Adulto Mayor,La Ciudadela,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
253,2010,Agosto,Dia del Adulto Mayor,La Ciudadela,VIOLENCIA INTRAFAMILIAR,1
254,2010,Agosto,Dia del Adulto Mayor,Morrorico,HURTO A PERSONAS,2
255,2010,Agosto,Dia del Adulto Mayor,Morrorico,LESIONES PERSONALES,4
256,2010,Agosto,Dia del Adulto Mayor,Mutis,HURTO A MOTOCICLETAS,1
257,2010,Agosto,Dia del Adulto Mayor,Nor Oriental,HOMICIDIO,2
258,2010,Agosto,Dia del Adulto Mayor,Nor Oriental,HURTO A RESIDENCIAS,1
259,2010,Agosto,Dia del Adulto Mayor,Norte,HURTO A PERSONAS,1
260,2010,Agosto,Dia del Adulto Mayor,Norte,LESIONES PERSONALES,3
261,2010,Agosto,Dia del Adulto Mayor,Norte,VIOLENCIA INTRAFAMILIAR,1
262,2010,Agosto,Dia del Adulto Mayor,Occidental,HURTO A PERSONAS,1
263,2010,Agosto,Dia del Adulto Mayor,Occidental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
264,2010,Agosto,Dia del Adulto Mayor,Occidental,VIOLENCIA INTRAFAMILIAR,2
265,2010,Agosto,Dia del Adulto Mayor,Oriental,HURTO A RESIDENCIAS,1
266,2010,Agosto,Dia del Adulto Mayor,Provenza,HURTO A RESIDENCIAS,1
267,2010,Agosto,Dia del Adulto Mayor,Provenza,VIOLENCIA INTRAFAMILIAR,1
268,2010,Agosto,Dia del Adulto Mayor,San Francisco,HURTO A PERSONAS,2
269,2010,Agosto,Dia del Adulto Mayor,Sur,VIOLENCIA INTRAFAMILIAR,2
270,2010,Agosto,Dia del Adulto Mayor,Sur Occidente,LESIONES PERSONALES,1
271,2010,Agosto,Dia del Ejercito Nacional,Cabecera del Llano,HURTO A PERSONAS,1
272,2010,Agosto,Dia del Ejercito Nacional,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
273,2010,Agosto,Dia del Ejercito Nacional,Cabecera del Llano,LESIONES PERSONALES,3
274,2010,Agosto,Dia del Ejercito Nacional,Centro,HURTO A ENTIDADES COMERCIALES,1
275,2010,Agosto,Dia del Ejercito Nacional,Centro,HURTO A PERSONAS,3
276,2010,Agosto,Dia del Ejercito Nacional,Centro,LESIONES PERSONALES,1
277,2010,Agosto,Dia del Ejercito Nacional,La Ciudadela,HURTO A PERSONAS,1
278,2010,Agosto,Dia del Ejercito Nacional,La Concordia,HURTO A PERSONAS,1
279,2010,Agosto,Dia del Ejercito Nacional,Lagos del Cacique,HURTO A PERSONAS,2
280,2010,Agosto,Dia del Ejercito Nacional,Morrorico,HURTO A PERSONAS,1
281,2010,Agosto,Dia del Ejercito Nacional,Nor Oriental,HOMICIDIO,1
282,2010,Agosto,Dia del Ejercito Nacional,Nor Oriental,LESIONES PERSONALES,2
283,2010,Agosto,Dia del Ejercito Nacional,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
284,2010,Agosto,Dia del Ejercito Nacional,Oriental,HURTO A PERSONAS,2
285,2010,Agosto,Dia del Ejercito Nacional,Oriental,HURTO A RESIDENCIAS,1
286,2010,Agosto,Dia del Ejercito Nacional,Provenza,VIOLENCIA INTRAFAMILIAR,1
287,2010,Agosto,Dia del Ejercito Nacional,San Francisco,HURTO A PERSONAS,2
288,2010,Agosto,Dia del Ejercito Nacional,San Francisco,VIOLENCIA INTRAFAMILIAR,1
289,2010,Agosto,Dia del Ingeniero,Cabecera del Llano,HURTO A PERSONAS,2
290,2010,Agosto,Dia del Ingeniero,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
291,2010,Agosto,Dia del Ingeniero,Centro,HURTO A ENTIDADES COMERCIALES,1
292,2010,Agosto,Dia del Ingeniero,Centro,HURTO A PERSONAS,2
293,2010,Agosto,Dia del Ingeniero,Centro,LESIONES PERSONALES,2
294,2010,Agosto,Dia del Ingeniero,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
295,2010,Agosto,Dia del Ingeniero,La Concordia,HURTO A ENTIDADES COMERCIALES,1
296,2010,Agosto,Dia del Ingeniero,La Concordia,VIOLENCIA INTRAFAMILIAR,1
297,2010,Agosto,Dia del Ingeniero,La Pedregosa,HURTO A PERSONAS,1
298,2010,Agosto,Dia del Ingeniero,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
299,2010,Agosto,Dia del Ingeniero,Morrorico,HURTO A RESIDENCIAS,1
300,2010,Agosto,Dia del Ingeniero,Nor Oriental,HURTO A PERSONAS,3
301,2010,Agosto,Dia del Ingeniero,Norte,HURTO A RESIDENCIAS,1
302,2010,Agosto,Dia del Ingeniero,Norte,LESIONES PERSONALES,1
303,2010,Agosto,Dia del Ingeniero,Oriental,HURTO A PERSONAS,2
304,2010,Agosto,Dia del Ingeniero,Oriental,LESIONES PERSONALES,1
305,2010,Agosto,Dia del Ingeniero,Oriental,VIOLENCIA INTRAFAMILIAR,2
306,2010,Agosto,Dia del Ingeniero,Provenza,HURTO A PERSONAS,1
307,2010,Agosto,Dia del Ingeniero,San Francisco,HURTO A PERSONAS,1
308,2010,Agosto,Domingo,Cabecera del Llano,HURTO A ENTIDADES COMERCIALES,2
309,2010,Agosto,Domingo,Cabecera del Llano,HURTO A PERSONAS,2
310,2010,Agosto,Domingo,Cabecera del Llano,HURTO A RESIDENCIAS,2
311,2010,Agosto,Domingo,Centro,HURTO A PERSONAS,5
312,2010,Agosto,Domingo,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
313,2010,Agosto,Domingo,Centro,LESIONES PERSONALES,4
314,2010,Agosto,Domingo,García Rovira,HURTO A PERSONAS,1
315,2010,Agosto,Domingo,García Rovira,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),6
